   W           E          ReE0+           ImE0+           ReE0-           ImE0-           ReM0+           ImM0+           ReM0-           ImM0-           ReE1+           ImE1+           ReE1-           ImE1-           ReM1+           ImM1+           ReM1-           ImM1-           ReE2+           ImE2+           ReE2-           ImE2-           ReM2+           ImM2+           ReM2-           ImM2-           ReE3+           ImE3+           ReE3-           ImE3-           ReM3+           ImM3+           ReM3-           ImM3-           ReE4+           ImE4+           ReE4-           ImE4-           ReM4+           ImM4+           ReM4-           ImM4-           ReE5+           ImE5+           ReE5-           ImE5-           ReM5+           ImM5+           ReM5-           ImM5-                
  1595.000   886.561    0.687538E+01   -0.865777E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.351039E+00   -0.929560E-01    0.000000E+00    0.000000E+00   -0.872181E+00   -0.981117E-01   -0.303629E+01   -0.177724E+01    0.197387E-02    0.155838E-01   -0.287734E+00   -0.988397E+00    0.250222E+00    0.137425E+00    0.379543E+00   -0.306639E+00    0.241024E-01   -0.995365E-03    0.153280E+00   -0.620067E-02   -0.895059E-01    0.556849E-02   -0.345178E-01   -0.141893E-02    0.304645E-01    0.656251E-02   -0.588975E-01   -0.817826E-03    0.730183E-01    0.580196E-03   -0.345408E-01    0.377983E-05    0.000000E+00    0.000000E+00    0.824496E-02    0.240490E-04    0.000000E+00    0.000000E+00    0.188201E-01    0.364597E-05
  1600.000   895.074    0.680403E+01   -0.814350E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.334296E+00   -0.102509E+00    0.000000E+00    0.000000E+00   -0.880183E+00   -0.935241E-01   -0.283402E+01   -0.177947E+01   -0.423921E-02    0.154119E-01   -0.310966E+00   -0.101117E+01    0.258749E+00    0.154394E+00    0.375179E+00   -0.301600E+00    0.240398E-01   -0.106565E-02    0.155903E+00   -0.760630E-02   -0.920635E-01    0.615409E-02   -0.359673E-01   -0.201415E-02    0.303428E-01    0.687942E-02   -0.613264E-01   -0.911564E-03    0.763062E-01    0.686127E-03   -0.367615E-01    0.354846E-05    0.000000E+00    0.000000E+00    0.885027E-02    0.276205E-04    0.000000E+00    0.000000E+00    0.177140E-01    0.433052E-05
  1605.000   903.613    0.670430E+01   -0.765009E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.316907E+00   -0.112885E+00    0.000000E+00    0.000000E+00   -0.889813E+00   -0.880205E-01   -0.262810E+01   -0.176793E+01   -0.107249E-01    0.148752E-01   -0.333924E+00   -0.103336E+01    0.266162E+00    0.172754E+00    0.369514E+00   -0.296854E+00    0.238702E-01   -0.113368E-02    0.157739E+00   -0.939044E-02   -0.943906E-01    0.676832E-02   -0.375345E-01   -0.282254E-02    0.300989E-01    0.713289E-02   -0.635925E-01   -0.101120E-02    0.793997E-01    0.804506E-03   -0.389602E-01    0.324576E-05    0.000000E+00    0.000000E+00    0.945230E-02    0.315003E-04    0.000000E+00    0.000000E+00    0.164289E-01    0.510839E-05
  1610.000   912.180    0.658086E+01   -0.716683E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.298488E+00   -0.124043E+00    0.000000E+00    0.000000E+00   -0.900881E+00   -0.814611E-01   -0.242071E+01   -0.174277E+01   -0.174459E-01    0.139019E-01   -0.356473E+00   -0.105485E+01    0.272200E+00    0.192447E+00    0.362723E+00   -0.292439E+00    0.235987E-01   -0.119865E-02    0.158762E+00   -0.116661E-01   -0.964893E-01    0.740993E-02   -0.392429E-01   -0.391314E-02    0.297403E-01    0.731841E-02   -0.656915E-01   -0.111669E-02    0.822902E-01    0.935751E-03   -0.411293E-01    0.286841E-05    0.000000E+00    0.000000E+00    0.100485E-01    0.356891E-04    0.000000E+00    0.000000E+00    0.149860E-01    0.598724E-05
  1615.000   920.773    0.638827E+01   -0.666615E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.277685E+00   -0.134502E+00    0.000000E+00    0.000000E+00   -0.913274E+00   -0.731456E-01   -0.221404E+01   -0.170434E+01   -0.243494E-01    0.124196E-01   -0.378515E+00   -0.107551E+01    0.276590E+00    0.213354E+00    0.354961E+00   -0.288383E+00    0.232305E-01   -0.125975E-02    0.158961E+00   -0.145781E-01   -0.983624E-01    0.807750E-02   -0.411066E-01   -0.537499E-02    0.292742E-01    0.743402E-02   -0.676202E-01   -0.122795E-02    0.849703E-01    0.108021E-02   -0.432616E-01    0.241322E-05    0.000000E+00    0.000000E+00    0.106366E-01    0.401846E-04    0.000000E+00    0.000000E+00    0.134066E-01    0.697477E-05
  1620.000   929.392    0.616027E+01   -0.627654E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.258549E+00   -0.144750E+00    0.000000E+00    0.000000E+00   -0.928277E+00   -0.640624E-01   -0.200990E+01   -0.165313E+01   -0.313646E-01    0.103600E-01   -0.399983E+00   -0.109525E+01    0.279057E+00    0.235288E+00    0.346368E+00   -0.284707E+00    0.227709E-01   -0.131618E-02    0.158358E+00   -0.183086E-01   -0.100014E+00    0.876939E-02   -0.431225E-01   -0.732060E-02    0.287081E-01    0.748021E-02   -0.693766E-01   -0.134487E-02    0.874348E-01    0.123820E-02   -0.453502E-01    0.187715E-05    0.000000E+00    0.000000E+00    0.112141E-01    0.449817E-04    0.000000E+00    0.000000E+00    0.117125E-01    0.807865E-05
  1625.000   938.038    0.588579E+01   -0.586320E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.238035E+00   -0.150957E+00    0.000000E+00    0.000000E+00   -0.945610E+00   -0.537118E-01   -0.181036E+01   -0.159028E+01   -0.384014E-01    0.766550E-02   -0.420836E+00   -0.111393E+01    0.279351E+00    0.257982E+00    0.337071E+00   -0.281424E+00    0.222255E-01   -0.136714E-02    0.157023E+00   -0.230793E-01   -0.101447E+00    0.948380E-02   -0.452579E-01   -0.988786E-02    0.280498E-01    0.745961E-02   -0.709598E-01   -0.146732E-02    0.896795E-01    0.140998E-02   -0.473884E-01    0.125728E-05    0.000000E+00    0.000000E+00    0.117792E-01    0.500723E-04    0.000000E+00    0.000000E+00    0.992467E-02    0.930640E-05
  1630.000   946.711    0.561096E+01   -0.553914E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.222981E+00   -0.160937E+00    0.000000E+00    0.000000E+00   -0.964107E+00   -0.446599E-01   -0.161652E+01   -0.151594E+01   -0.453525E-01    0.429524E-02   -0.441067E+00   -0.113148E+01    0.277263E+00    0.281096E+00    0.327171E+00   -0.278562E+00    0.215993E-01   -0.141183E-02    0.155106E+00   -0.291465E-01   -0.102668E+00    0.102187E-01   -0.474319E-01   -0.132374E-01    0.273076E-01    0.737659E-02   -0.723699E-01   -0.159510E-02    0.917020E-01    0.159580E-02   -0.493702E-01    0.550871E-06    0.000000E+00    0.000000E+00    0.123297E-01    0.554451E-04    0.000000E+00    0.000000E+00    0.806382E-02    0.106653E-04
  1635.000   955.411    0.532810E+01   -0.520347E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.202952E+00   -0.172039E+00    0.000000E+00    0.000000E+00   -0.983396E+00   -0.341863E-01   -0.143109E+01   -0.143160E+01   -0.520963E-01    0.232023E-03   -0.460680E+00   -0.114780E+01    0.272654E+00    0.304225E+00    0.316795E+00   -0.276139E+00    0.208978E-01   -0.144948E-02    0.152875E+00   -0.367809E-01   -0.103682E+00    0.109721E-01   -0.494934E-01   -0.175406E-01    0.264907E-01    0.723680E-02   -0.736076E-01   -0.172801E-02    0.935008E-01    0.179590E-02   -0.512896E-01   -0.244642E-06    0.000000E+00    0.000000E+00    0.128638E-01    0.610856E-04    0.000000E+00    0.000000E+00    0.614976E-02    0.121624E-04
  1640.000   964.137    0.499333E+01   -0.490214E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.183364E+00   -0.178879E+00    0.000000E+00    0.000000E+00   -0.100498E+01   -0.240533E-01   -0.125468E+01   -0.133933E+01   -0.585039E-01   -0.451226E-02   -0.479702E+00   -0.116281E+01    0.265475E+00    0.326915E+00    0.306034E+00   -0.274155E+00    0.201262E-01   -0.147934E-02    0.150749E+00   -0.462207E-01   -0.104494E+00    0.117416E-01   -0.511960E-01   -0.229517E-01    0.256089E-01    0.704676E-02   -0.746747E-01   -0.186581E-02    0.950760E-01    0.201048E-02   -0.531409E-01   -0.113157E-05    0.000000E+00    0.000000E+00    0.133799E-01    0.669762E-04    0.000000E+00    0.000000E+00    0.420130E-02    0.138041E-04
