#############################################################################################################
# EtaMAID2016h eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
############################################################################################################# 
   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1607.0  -10.398848  -1.855112    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.255704   0.519609    0.000000   0.000000    0.458672   1.258551   -1.103199   0.277086   -0.000514  -0.029412   -0.754540  -0.350969    0.037689  -0.041149   -0.560866  -0.320933   -0.024854  -0.002034   -0.013268   0.178609    0.031185   0.001258   -0.018699   0.120290   -0.000682  -0.003282   -0.002377   0.037377   -0.000116  -0.014976   -0.000215   0.007918   -0.000062   0.000088    0.000029   0.000024    0.000453  -0.000442   -0.000072   0.000259
 1612.0   -9.729124  -2.145141    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.275405   0.523771    0.000000   0.000000    0.441144   1.278910   -1.127247   0.247824    0.000701  -0.030724   -0.744317  -0.368898    0.045004  -0.045394   -0.551569  -0.340358   -0.025933  -0.002130   -0.019740   0.189811    0.032631   0.001311   -0.024185   0.128770   -0.000731  -0.003454   -0.002607   0.039560   -0.000051  -0.015874   -0.000221   0.008417   -0.000071   0.000101    0.000030   0.000030    0.000505  -0.000492   -0.000076   0.000287
 1617.0   -9.078355  -2.360667    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.295686   0.526117    0.000000   0.000000    0.421885   1.297371   -1.153957   0.215982    0.002174  -0.032007   -0.733229  -0.385990    0.053637  -0.049589   -0.539737  -0.359300   -0.026999  -0.002231   -0.027461   0.200963    0.034072   0.001370   -0.030668   0.137282   -0.000781  -0.003625   -0.002852   0.041753    0.000022  -0.016777   -0.000226   0.008924   -0.000080   0.000114    0.000031   0.000036    0.000560  -0.000544   -0.000079   0.000315
 1622.0   -8.453443  -2.504110    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.316298   0.526753    0.000000   0.000000    0.401321   1.314030   -1.183754   0.180631    0.003943  -0.033221   -0.721082  -0.402117    0.063797  -0.053520   -0.524825  -0.377144   -0.028053  -0.002335   -0.036559   0.211876    0.035506   0.001434   -0.038256   0.145683   -0.000832  -0.003796   -0.003112   0.043957    0.000103  -0.017685   -0.000231   0.009438   -0.000091   0.000128    0.000031   0.000043    0.000618  -0.000599   -0.000081   0.000345
 1627.0   -7.862856  -2.576766    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.337045   0.525681    0.000000   0.000000    0.379718   1.328894   -1.216935   0.140176    0.006044  -0.034310   -0.707733  -0.416987    0.075688  -0.056882   -0.506441  -0.392885   -0.029094  -0.002444   -0.047144   0.222309    0.036933   0.001505   -0.047037   0.153787   -0.000884  -0.003965   -0.003388   0.046168    0.000192  -0.018596   -0.000235   0.009959   -0.000102   0.000143    0.000031   0.000051    0.000679  -0.000656   -0.000082   0.000377
 1632.0   -7.315519  -2.587521    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.357734   0.522903    0.000000   0.000000    0.357310   1.341973   -1.253356   0.092333    0.008509  -0.035197   -0.693184  -0.430136    0.089475  -0.059253   -0.484589  -0.405108   -0.030121  -0.002558   -0.059279   0.231966    0.038353   0.001582   -0.057066   0.161364   -0.000936  -0.004134   -0.003681   0.048386    0.000289  -0.019509   -0.000239   0.010487   -0.000115   0.000159    0.000031   0.000061    0.000742  -0.000716   -0.000082   0.000409
 1637.0   -6.817694  -2.547939    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.378172   0.518436    0.000000   0.000000    0.334327   1.353299   -1.291928   0.034095    0.011349  -0.035781   -0.677709  -0.440995    0.105240  -0.060077   -0.459988  -0.412156   -0.031135  -0.002677   -0.072965   0.240495    0.039767   0.001667   -0.068349   0.168140   -0.000988  -0.004302   -0.003992   0.050609    0.000394  -0.020425   -0.000243   0.011023   -0.000128   0.000177    0.000030   0.000071    0.000808  -0.000778   -0.000082   0.000443
 1642.0   -6.372384  -2.470323    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.398162   0.512320    0.000000   0.000000    0.310987   1.362929   -1.329837  -0.038005    0.014550  -0.035937   -0.661951  -0.449060    0.122898  -0.058671   -0.434312  -0.412558   -0.032135  -0.002801   -0.088109   0.247507    0.041174   0.001760   -0.080820   0.173815   -0.001040  -0.004469   -0.004321   0.052836    0.000507  -0.021342   -0.000246   0.011566   -0.000142   0.000195    0.000029   0.000083    0.000877  -0.000842   -0.000080   0.000477
 1647.0   -5.979553  -2.366404    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.417514   0.504624    0.000000   0.000000    0.287499   1.370952   -1.361653  -0.126916    0.018049  -0.035523   -0.646884  -0.454137    0.142117  -0.054267   -0.410106  -0.405668   -0.033121  -0.002931   -0.104498   0.252600    0.042574   0.001861   -0.094320   0.178076   -0.001093  -0.004635   -0.004668   0.055066    0.000630  -0.022260   -0.000250   0.012117   -0.000157   0.000214    0.000027   0.000096    0.000948  -0.000907   -0.000077   0.000513
 1652.0   -5.636756  -2.246488    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.436044   0.495446    0.000000   0.000000    0.264057   1.377485   -1.379017  -0.232979    0.021723  -0.034403   -0.633592  -0.456554    0.162230  -0.046117   -0.390201  -0.392207   -0.034093  -0.003067   -0.121791   0.255405    0.043968   0.001971   -0.108590   0.180636   -0.001145  -0.004800   -0.005036   0.057298    0.000760  -0.023177   -0.000255   0.012676   -0.000172   0.000234    0.000024   0.000110    0.001021  -0.000975   -0.000073   0.000550
