#############################################################################################################
# EtaMAID2016a eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
#############################################################################################################   
   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1587.0  -11.054890   5.916958    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.066016   0.310161    0.000000   0.000000    1.565891   0.517305    0.126033   0.469220    0.042685   0.007096   -0.595903   0.370799   -0.041148  -0.159052   -0.415432   0.325464    0.002200  -0.005653   -0.000111   0.047593    0.026281  -0.006690    0.080377   0.029332   -0.000057  -0.000342    0.014673   0.004917    0.001934  -0.001207    0.015768   0.001557   -0.000006  -0.000018    0.000004   0.000268    0.000111  -0.000107    0.000179   0.000075
 1592.0  -10.986625   5.152520    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.059623   0.320315    0.000000   0.000000    1.581825   0.536521    0.118856   0.442686    0.044182   0.010756   -0.577706   0.351913   -0.037767  -0.177342   -0.413993   0.319004    0.002432  -0.006086   -0.000308   0.052308    0.028371  -0.007056    0.085672   0.032846   -0.000062  -0.000382    0.015607   0.005439    0.002160  -0.001335    0.016932   0.001740   -0.000007  -0.000020    0.000003   0.000306    0.000128  -0.000122    0.000202   0.000086
 1597.0  -10.871857   4.404194    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.052890   0.330280    0.000000   0.000000    1.595887   0.556016    0.110766   0.413073    0.045267   0.014779   -0.557389   0.335559   -0.032526  -0.196858   -0.411949   0.313536    0.002677  -0.006527   -0.000583   0.057475    0.030517  -0.007410    0.090996   0.036726   -0.000067  -0.000424    0.016529   0.005990    0.002401  -0.001468    0.018109   0.001937   -0.000007  -0.000023    0.000002   0.000347    0.000146  -0.000139    0.000227   0.000097
 1602.0  -10.704963   3.670248    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.045835   0.340064    0.000000   0.000000    1.608150   0.575860    0.101741   0.380110    0.045861   0.019125   -0.535126   0.321739   -0.025074  -0.217413   -0.409411   0.309005    0.002937  -0.006976   -0.000986   0.063162    0.032716  -0.007752    0.096317   0.041017   -0.000072  -0.000470    0.017437   0.006567    0.002657  -0.001607    0.019298   0.002146   -0.000008  -0.000026    0.000000   0.000392    0.000166  -0.000158    0.000253   0.000109
 1607.0  -10.477750   2.952766    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.038475   0.349676    0.000000   0.000000    1.618668   0.596124    0.091780   0.343452    0.045882   0.023729   -0.511057   0.310503   -0.015068  -0.238718   -0.406468   0.305376    0.003212  -0.007433   -0.001588   0.069441    0.034968  -0.008079    0.101593   0.045765   -0.000078  -0.000518    0.018328   0.007171    0.002928  -0.001752    0.020497   0.002369   -0.000009  -0.000029   -0.000001   0.000441    0.000189  -0.000178    0.000282   0.000122
 1612.0  -10.180718   2.258279    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.030809   0.359138    0.000000   0.000000    1.627410   0.616929    0.080915   0.302672    0.045257   0.028507   -0.485298   0.301956   -0.002196  -0.260378   -0.403191   0.302638    0.003501  -0.007897   -0.002491   0.076385    0.037269  -0.008391    0.106762   0.051019   -0.000083  -0.000569    0.019201   0.007802    0.003216  -0.001903    0.021705   0.002606   -0.000010  -0.000032   -0.000004   0.000494    0.000213  -0.000200    0.000312   0.000136
 1617.0   -9.806397   1.602776    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.022818   0.368480    0.000000   0.000000    1.634239   0.638433    0.069224   0.257253    0.043924   0.033345   -0.457968   0.296268    0.013806  -0.281877   -0.399647   0.300807    0.003805  -0.008366   -0.003828   0.084061    0.039618  -0.008685    0.111748   0.056823   -0.000089  -0.000623    0.020055   0.008460    0.003519  -0.002059    0.022921   0.002858   -0.000011  -0.000036   -0.000007   0.000551    0.000239  -0.000224    0.000344   0.000151
 1622.0   -9.352864   1.007570    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.014515   0.377697    0.000000   0.000000    1.639189   0.660651    0.056869   0.206541    0.041845   0.038109   -0.429197   0.293672    0.033087  -0.302592   -0.395902   0.299923    0.004125  -0.008841   -0.005774   0.092523    0.042013  -0.008961    0.116447   0.063214   -0.000094  -0.000680    0.020886   0.009143    0.003839  -0.002221    0.024144   0.003124   -0.000012  -0.000040   -0.000010   0.000612    0.000268  -0.000249    0.000379   0.000167
 1627.0   -8.828427   0.497814    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.005901   0.386796    0.000000   0.000000    1.642221   0.683635    0.044117   0.149759    0.039017   0.042648   -0.399146   0.294463    0.055624  -0.321832   -0.392032   0.300051    0.004460  -0.009320   -0.008552   0.101791    0.044451  -0.009218    0.120734   0.070212   -0.000099  -0.000741    0.021695   0.009853    0.004175  -0.002388    0.025374   0.003406   -0.000013  -0.000044   -0.000014   0.000677    0.000298  -0.000277    0.000415   0.000184
 1632.0   -8.254245   0.096528    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.003031   0.395783    0.000000   0.000000    1.643262   0.707435    0.031391   0.085988    0.035482   0.046809   -0.368031   0.299001    0.081207  -0.338889   -0.388128   0.301280    0.004811  -0.009802   -0.012425   0.111834    0.046931  -0.009453    0.124454   0.077806   -0.000104  -0.000805    0.022479   0.010588    0.004528  -0.002560    0.026609   0.003703   -0.000014  -0.000048   -0.000019   0.000747    0.000332  -0.000306    0.000453   0.000202
 1637.0   -7.662477  -0.183122    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.012292   0.404662    0.000000   0.000000    1.642200   0.732097    0.019334   0.014160    0.031322   0.050448   -0.336153   0.307715    0.109425  -0.353101   -0.384310   0.303727    0.005178  -0.010287   -0.017698   0.122543    0.049450  -0.009666    0.127435   0.085944   -0.000109  -0.000871    0.023238   0.011348    0.004898  -0.002737    0.027849   0.004017   -0.000015  -0.000053   -0.000024   0.000822    0.000367  -0.000337    0.000494   0.000221
 1642.0   -7.089432  -0.343234    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.021900   0.413437    0.000000   0.000000    1.638896   0.757645    0.008893  -0.066942    0.026657   0.053444   -0.303936   0.321093    0.139687  -0.363925   -0.380742   0.307531    0.005561  -0.010774   -0.024685   0.133704    0.052006  -0.009855    0.129496   0.094513   -0.000114  -0.000942    0.023969   0.012133    0.005286  -0.002918    0.029093   0.004348   -0.000016  -0.000058   -0.000030   0.000902    0.000406  -0.000370    0.000536   0.000242
 1647.0   -6.566549  -0.401068    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.031881   0.422107    0.000000   0.000000    1.633176   0.784083    0.001432  -0.158658    0.021637   0.055717   -0.271970   0.339669    0.171268  -0.370988   -0.377646   0.312846    0.005961  -0.011262   -0.033677   0.144976    0.054597  -0.010020    0.130470   0.103328   -0.000118  -0.001016    0.024673   0.012942    0.005690  -0.003104    0.030340   0.004695   -0.000018  -0.000063   -0.000037   0.000986    0.000447  -0.000405    0.000581   0.000263
 1652.0   -6.113701  -0.383496    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.042263   0.430665    0.000000   0.000000    1.624832   0.811384   -0.001129  -0.262389    0.016429   0.057227   -0.241073   0.363983    0.203375  -0.374126   -0.375326   0.319829    0.006376  -0.011750   -0.044881   0.155884    0.057221  -0.010159    0.130239   0.112133   -0.000122  -0.001093    0.025348   0.013775    0.006112  -0.003294    0.031591   0.005061   -0.000019  -0.000069   -0.000045   0.001076    0.000491  -0.000442    0.000628   0.000286
 1657.0   -5.737541  -0.319391    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.053082   0.439096    0.000000   0.000000    1.613631   0.839475    0.003861  -0.379467    0.011195   0.057982   -0.212344   0.394522    0.235216  -0.373391   -0.374188   0.328618    0.006809  -0.012237   -0.058358   0.165847    0.059877  -0.010271    0.128766   0.120607   -0.000126  -0.001174    0.025994   0.014631    0.006552  -0.003487    0.032844   0.005444   -0.000021  -0.000075   -0.000055   0.001171    0.000538  -0.000482    0.000678   0.000310
 1662.0   -5.434162  -0.233636    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.064376   0.447379    0.000000   0.000000    1.599314   0.868233    0.019959  -0.510927    0.006087   0.058031   -0.187228   0.431613    0.266072  -0.369030   -0.374760   0.339291    0.007258  -0.012723   -0.073967   0.174237    0.062560  -0.010356    0.126131   0.128409   -0.000129  -0.001259    0.026609   0.015509    0.007010  -0.003684    0.034099   0.005846   -0.000023  -0.000081   -0.000065   0.001272    0.000588  -0.000523    0.000730   0.000335
 1667.0   -5.193528  -0.144362    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.076189   0.455477    0.000000   0.000000    1.581608   0.897468    0.051781  -0.657135    0.001227   0.057455   -0.167537   0.475262    0.295346  -0.361438   -0.377706   0.351808    0.007724  -0.013206   -0.091338   0.180468    0.065270  -0.010411    0.122541   0.135221   -0.000131  -0.001347    0.027193   0.016409    0.007485  -0.003884    0.035355   0.006267   -0.000024  -0.000088   -0.000077   0.001378    0.000642  -0.000567    0.000784   0.000362
 1672.0   -5.003450  -0.062899    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.088562   0.463343    0.000000   0.000000    1.560239   0.926918    0.105044  -0.817237   -0.003292   0.056356   -0.155421   0.524942    0.322589  -0.351110   -0.383810   0.365934    0.008206  -0.013685   -0.109904   0.184103    0.068005  -0.010437    0.118317   0.140810   -0.000133  -0.001439    0.027745   0.017331    0.007978  -0.004088    0.036612   0.006708   -0.000026  -0.000094   -0.000090   0.001490    0.000699  -0.000613    0.000841   0.000390
 1677.0   -4.852177   0.004852    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.101535   0.470913    0.000000   0.000000    1.534947   0.956234    0.186356  -0.988416   -0.007412   0.054845   -0.153218   0.579331    0.347512  -0.338583   -0.393922   0.381144    0.008705  -0.014160   -0.128982   0.184925    0.070762  -0.010432    0.113846   0.145075   -0.000134  -0.001535    0.028265   0.018272    0.008490  -0.004293    0.037870   0.007169   -0.000028  -0.000102   -0.000104   0.001608    0.000759  -0.000661    0.000900   0.000420
 1682.0   -4.729659   0.056726    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.115139   0.478107    0.000000   0.000000    1.505512   0.984982    0.302563  -1.165073   -0.011104   0.053031   -0.163135   0.636085    0.369965  -0.324389   -0.408849   0.396541    0.009221  -0.014630   -0.147873   0.182967    0.073539  -0.010396    0.109518   0.148055   -0.000135  -0.001635    0.028752   0.019234    0.009019  -0.004501    0.039128   0.007650   -0.000031  -0.000109   -0.000120   0.001733    0.000823  -0.000712    0.000962   0.000451
 1687.0   -4.627675   0.092073    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.129395   0.484832    0.000000   0.000000    1.471778   1.012638    0.460249  -1.337647   -0.014367   0.051016   -0.186740   0.691743    0.389922  -0.309025   -0.429162   0.410817    0.009754  -0.015093   -0.165978   0.178480    0.076333  -0.010328    0.105671   0.149918   -0.000134  -0.001739    0.029206   0.020214    0.009567  -0.004711    0.040385   0.008152   -0.000033  -0.000117   -0.000138   0.001863    0.000890  -0.000764    0.001027   0.000484
 1692.0   -4.540130   0.112217    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.144303   0.490978    0.000000   0.000000    1.433699   1.038569    0.676192  -1.478470   -0.017215   0.048887   -0.224338   0.741946    0.407449  -0.292926   -0.454969   0.422320    0.010303  -0.015549   -0.182855   0.171856    0.079144  -0.010226    0.102546   0.150915   -0.000132  -0.001848    0.029626   0.021212    0.010133  -0.004923    0.041642   0.008676   -0.000036  -0.000126   -0.000158   0.002000    0.000962  -0.000820    0.001095   0.000519
