   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1592.00  -11.011798   5.279311    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.039240   0.075631    0.000000   0.000000    1.212912   0.554386    0.055494   0.581351    0.060066   0.030884   -0.927564   0.279853   -0.035465  -0.082955   -0.435138   0.317914    0.000538  -0.000004    0.079666   0.139754    0.038862  -0.007127    0.086715   0.025835   -0.005064  -0.000530    0.000896   0.001789   -0.001579  -0.001922    0.011905   0.001800   -0.000005  -0.000002    0.000128   0.000067    0.000158  -0.000146    0.000203   0.000059
 1597.00  -10.840329   4.469949    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.043016   0.076850    0.000000   0.000000    1.220500   0.565244    0.031957   0.556190    0.061040   0.033931   -0.935424   0.235376   -0.029821  -0.090981   -0.440356   0.301161    0.000565   0.000011    0.079497   0.148977    0.041505  -0.007438    0.090905   0.029912   -0.005231  -0.000563    0.000922   0.001969   -0.001431  -0.002094    0.012450   0.001961   -0.000005  -0.000002    0.000145   0.000076    0.000181  -0.000166    0.000229   0.000066
 1602.00  -10.600740   3.706279    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.046757   0.077956    0.000000   0.000000    1.226649   0.575700    0.006343   0.526148    0.061788   0.037211   -0.939824   0.190069   -0.023416  -0.099839   -0.444258   0.284358    0.000593   0.000027    0.078826   0.158483    0.044201  -0.007730    0.094954   0.034507   -0.005391  -0.000597    0.000943   0.002158   -0.001259  -0.002273    0.012993   0.002131   -0.000005  -0.000003    0.000163   0.000087    0.000206  -0.000188    0.000256   0.000074
 1607.00  -10.296733   2.996748    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.050454   0.078954    0.000000   0.000000    1.231435   0.585798   -0.021149   0.490618    0.062268   0.040725   -0.940552   0.143717   -0.016056  -0.109544   -0.446915   0.267447    0.000622   0.000047    0.077604   0.168284    0.046948  -0.008000    0.098790   0.039668   -0.005544  -0.000632    0.000959   0.002355   -0.001063  -0.002457    0.013532   0.002310   -0.000006  -0.000003    0.000183   0.000099    0.000233  -0.000212    0.000285   0.000082
 1612.00   -9.906707   2.380229    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.054049   0.079898    0.000000   0.000000    1.235177   0.595692   -0.048957   0.447698    0.062426   0.044466   -0.937151   0.096175   -0.007503  -0.120070   -0.448328   0.250372    0.000653   0.000070    0.075772   0.178387    0.049744  -0.008247    0.102323   0.045438   -0.005689  -0.000667    0.000969   0.002560   -0.000843  -0.002648    0.014069   0.002497   -0.000006  -0.000003    0.000203   0.000112    0.000263  -0.000237    0.000317   0.000090
 1617.00   -9.484517   1.834609    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.057456   0.080889    0.000000   0.000000    1.238301   0.605672   -0.073811   0.394584    0.062201   0.048414   -0.928824   0.047512    0.002532  -0.131324   -0.448396   0.233099    0.000685   0.000096    0.073258   0.188790    0.052588  -0.008469    0.105434   0.051849   -0.005828  -0.000702    0.000972   0.002773   -0.000599  -0.002844    0.014605   0.002694   -0.000006  -0.000003    0.000226   0.000126    0.000295  -0.000265    0.000350   0.000099
 1622.00   -9.038629   1.364133    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.060777   0.081872    0.000000   0.000000    1.240386   0.615649   -0.096165   0.332483    0.061524   0.052529   -0.914571  -0.001863    0.014356  -0.143128   -0.446970   0.215664    0.000719   0.000126    0.069975   0.199481    0.055477  -0.008664    0.107980   0.058913   -0.005961  -0.000738    0.000969   0.002994   -0.000332  -0.003046    0.015141   0.002901   -0.000007  -0.000003    0.000249   0.000142    0.000331  -0.000294    0.000386   0.000109
 1627.00   -8.579441   0.973452    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.064046   0.082830    0.000000   0.000000    1.241306   0.625601   -0.115261   0.261410    0.060335   0.056751   -0.893338  -0.051063    0.028259  -0.155196   -0.443883   0.198203    0.000754   0.000159    0.065821   0.210429    0.058409  -0.008832    0.109794   0.066616   -0.006088  -0.000774    0.000959   0.003223   -0.000042  -0.003252    0.015676   0.003118   -0.000007  -0.000003    0.000274   0.000159    0.000368  -0.000325    0.000423   0.000119
 1632.00   -8.120642   0.661571    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.067280   0.083753    0.000000   0.000000    1.241004   0.635507   -0.129897   0.181199    0.058578   0.060994   -0.864208  -0.098613    0.044490  -0.167127   -0.438983   0.180966    0.000791   0.000196    0.060683   0.221576    0.061382  -0.008970    0.110680   0.074899   -0.006209  -0.000810    0.000941   0.003458    0.000273  -0.003464    0.016212   0.003346   -0.000007  -0.000003    0.000301   0.000178    0.000409  -0.000359    0.000464   0.000130
 1637.00   -7.675584   0.423301    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.070492   0.084631    0.000000   0.000000    1.239448   0.645343   -0.138542   0.091743    0.056218   0.065150   -0.826703  -0.142435    0.063209  -0.178405   -0.432194   0.164323    0.000830   0.000238    0.054440   0.232830    0.064393  -0.009077    0.110435   0.083643   -0.006325  -0.000847    0.000914   0.003701    0.000610  -0.003680    0.016749   0.003584   -0.000008  -0.000003    0.000329   0.000198    0.000453  -0.000394    0.000506   0.000141
